accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
2,1.0,1.0,1.5,4.94,Gatewood,Private room,shared,99.0
4,2.0,2.0,1.0,4.9,Haller Lake,Entire home/apt,standard,119.0
2,1.0,1.0,1.0,4.87,First Hill,Entire home/apt,standard,140.0
4,1.0,2.0,1.0,4.9,Phinney Ridge,Entire home/apt,standard,107.0
3,1.0,1.0,1.0,4.97,Lawton Park,Entire home/apt,standard,155.0
5,2.0,3.0,2.0,4.14,University District,Entire home/apt,standard,159.0
3,2.0,2.0,1.0,4.97,Leschi,Entire home/apt,standard,125.0
6,2.0,2.0,1.0,4.86,Loyal Heights,Entire home/apt,standard,111.0
2,1.0,1.0,1.0,4.82,Atlantic,Entire home/apt,standard,92.0
2,1.0,1.0,1.0,4.73,Broadway,Entire home/apt,standard,80.0
3,1.0,1.0,1.0,4.0,University District,Entire home/apt,standard,128.0
